word,profane,offensive,sexual,mean,evasive
freak,0,0,0,2,0
freesex,0,0,3,0,0
frick,1,0,0,0,0
frik,1,0,0,0,1
frikyou,1,0,0,2,1
frig,1,0,2,0,0
fuack,2,0,2,0,2
fuc,2,0,2,0,0
fucc,2,0,2,0,1
fuch,2,0,2,0,2
fucing,2,0,2,0,2
fuck,2,0,2,0,0
fucked,2,0,2,0,0
fucker,2,0,0,2,0
fucking,2,0,2,0,0
fuckyou,2,0,2,3,0
fuckyourself,2,0,2,3,0
fudgepacker,0,0,3,0,0
fug,2,0,2,0,3
fuged,2,0,2,0,3
fuging,2,0,2,0,3
fuger,2,0,0,2,3
fuhrer,0,1,0,0,0
fuk,2,0,2,0,1
fukk,2,0,2,0,1
fuked,2,0,2,0,2
fuker,2,0,0,2,2
fukc,2,0,2,0,2
fukin,2,0,2,0,1
fukyou,2,0,2,3,1
fuq,2,0,2,0,1
fuqq,2,0,2,0,1
fuque,2,0,2,0,3
fycuk,1,0,0,0,1
fys,2,0,1,2,1
fyuck,1,0,0,0,1
gangbang,0,3,0,0,0
gaay,0,1,0,0,0
gae,0,1,0,0,1
gay,0,1,0,0,0
gaeness,0,1,0,0,1
gasjew,0,3,0,0,0
gazjew,0,3,0,0,2
gasalljew,0,3,0,0,0
gazalljew,0,3,0,0,2
gasthejew,0,3,0,0,0
gazthejew,0,3,0,0,2
gayness,0,1,0,0,0
gays,0,1,0,0,0
gayest,0,2,0,0,0
genital,0,0,2,0,0
gfys,2,0,1,2,1
ggers,3,3,0,0,0
getcancer,0,0,0,3,0
getlost,0,0,0,2,0
get married,0,0,1,0,0
ghetto,0,2,0,0,0
gilipolas,0,0,2,2,0
gky,0,2,0,2,1
glizy,0,0,2,0,2
goddam,1,1,0,0,0
good lay,0,0,2,0,0
gouine,0,2,2,0,0
gringo,0,0,0,1,0
gun to school,3,0,0,0,0
gun at school,3,0,0,0,0
gunt,0,2,2,0,1
handjob,0,0,3,0,0
hangyourself,0,2,0,3,0
h8,0,0,0,2,1
haet,0,0,0,2,2
hate,0,0,0,2,1
hate asian,0,2,0,2,0
hate african,0,2,0,2,0
hate black,0,2,0,2,0
hate chinese,0,2,0,2,0
hator,0,0,0,2,2
hayt,0,0,0,2,2
heil hitler,0,3,0,0,0
hell,1,0,0,0,0
hentai,0,0,3,0,0
her ashes,0,1,0,0,0
her bob,0,0,3,0,0
heshe,0,0,2,0,0
hifler,0,1,0,0,2
hijo de perra,0,0,1,2,0
hijo de puta,0,0,1,2,0
hilter,0,2,0,0,2
his ashes,0,1,0,0,0
hitlar,0,2,0,0,2
hitle,0,1,0,0,0
hitler,0,2,0,0,0
hitlr,0,2,0,0,2
ho,0,2,1,0,0
hoar,0,3,2,0,0
hoe,0,2,1,0,0
hoes,0,2,1,0,0
holocast,0,2,0,0,1
holocaust,0,2,0,0,0
holocust,0,2,0,0,2
 homo,0,2,1,0,0
honkey,0,2,0,0,0
honkie,0,2,0,0,0
hooker,0,0,3,0,0
hope u die,0,0,0,3,1
hopeyoualldie,0,0,0,3,0
hopeyoudie,0,0,0,3,0
horny,0,0,3,0,0
horseshit,2,0,0,0,0
htler,0,2,0,0,2
htlr,0,2,0,0,2
huejass,2,0,1,0,2
huevon,1,0,0,1,0
hugh janus,2,0,0,0,2
hump jo mama,0,0,2,2,2
hump yo mama,0,0,2,2,1
hump woman,0,0,2,0,0
hump women,0,0,2,0,0
gooch,0,0,2,0,0
idiot,0,0,0,1,0
igger,3,3,0,0,0
imbecil,0,0,0,2,0
incel,0,1,2,1,0
incest,0,0,3,0,0
insemin,0,0,2,0,0
inseminate,0,0,3,0,0
inseminater,0,0,3,0,0
inseminating,0,0,3,0,0
inseminator,0,0,3,0,0
intercourse,0,0,2,0,1
isgay,0,2,0,0,0
jackass,1,0,0,1,0
jackoff,0,0,2,0,0
jackshit,2,0,0,0,0
jerk,0,0,0,1,0
jew,0,1,0,0,0
jewish,0,1,0,0,0
jews,0,1,0,0,0
jigaboo,0,3,0,0,0
jizz,0,0,3,0,0
joder,2,0,2,0,0
juden,0,1,0,0,1
jumpofabridge,0,1,0,2,0
jumpoutawindow,0,1,0,2,0
kike,0,2,0,0,0
kilyoself,0,2,0,3,2
kilyoslef,0,2,0,3,2
kilyouself,0,2,0,3,2
kilyouslef,0,2,0,3,2
kilyourself,0,2,0,3,0
kilyourslef,0,2,0,3,2
kinky,0,0,1,0,0
kill student,3,0,0,0,0
killallstudent,3,0,0,0,0
killaschool,3,0,0,0,0
killchinese,0,2,0,0,0
killchina,0,2,0,0,0
killfamily,0,2,0,0,0
killmyfamily,0,2,0,0,0
killmyschool,3,0,0,0,0
killotherpeople,2,0,0,0,0
killpeople,2,0,0,0,0
killrussia,0,2,0,0,0
killrussians,0,2,0,0,0
killukraine,0,2,0,0,0
killukrainians,0,2,0,0,0
killing student,3,0,0,0,0
killingallstudent,3,0,0,0,0
killingaschool,3,0,0,0,0
killingchinese,0,2,0,0,0
killingchina,0,2,0,0,0
killingmyschool,3,0,0,0,0
killingotherpeople,2,0,0,0,0
killingpeople,2,0,0,0,0
killingrussia,0,2,0,0,0
killingrussians,0,2,0,0,0
killingukraine,0,2,0,0,0
killingukrainians,0,2,0,0,0
killyourfamily,0,2,0,3,0
kkk,0,3,0,0,0
kkklan,0,3,0,0,0
kkkmember,0,3,0,0,0
 klan,0,2,0,0,0
klansman,0,3,0,0,0
klansmen,0,3,0,0,0
klanswoman,0,3,0,0,0
klanswomen,0,3,0,0,0
knobend,1,1,0,2,1
knobhead,1,1,0,2,1
kocksock,2,0,3,0,2
kocksuck,2,0,3,0,2
krap,1,0,0,0,1
kuklux,0,3,0,0,0
kukluxklan,0,3,0,0,0
kunt,0,0,2,0,2
kys,0,2,0,3,0
labia,0,0,3,0,0
lame botas,0,0,0,1,0
lardface,0,1,0,1,0
leccami,0,0,1,0,0
lenin,0,1,0,0,0
lick my,0,0,1,0,1
like monkey,0,1,0,2,1
like a monkey,0,1,0,2,1
los cojones,0,0,1,0,0
loser,0,0,0,2,0
loveslavery,0,2,0,0,1
lowlife,0,1,0,2,0
mailabomb,0,2,0,0,0
maldito,1,0,0,0,0
malnacido,0,0,1,2,0
maricon,0,2,2,0,0
marry me,0,0,1,0,0
marry you,0,0,1,0,0
masacreinhisschool,3,0,0,0,0
masacreinmyschool,3,0,0,0,0
masacremyschool,3,0,0,0,0
masherbate,0,0,2,0,2
masherbating,0,0,2,0,2
massmurderschool,3,0,0,0,0
massmurderaschool,3,0,0,0,0
massmurdermyschool,3,0,0,0,0
masterbate,0,0,2,0,0
masterbating,0,0,2,0,0
mastherbate,0,0,2,0,2
mastherbating,0,0,2,0,2
masterhbate,0,0,2,0,2
masterhbating,0,0,2,0,2
masturbate,0,0,2,0,0
masturbating,0,0,2,0,0
mdrfkr,2,2,2,0,2
meatbeating,0,0,2,0,1
merda,2,0,0,0,0
merde,1,0,0,0,0
mierda,2,0,0,0,0
migga,2,3,0,0,2
miger,2,5,0,0,2
mikeock,2,0,2,1,2
milf,0,0,2,0,0
milkyourmother,0,0,1,2,0
minge,0,0,3,0,1
moron,0,0,0,2,0
motherfk,2,1,2,0,1
motherfuck,2,1,2,0,0
motherfucker,2,2,2,0,0
motherfuk,2,1,2,0,1
muff,0,0,3,0,0
murderschool,3,0,0,0,0
murderstudent,3,0,0,0,0
murderaschool,3,0,0,0,0
murdermyschool,3,0,0,0,0
mykock,2,0,2,1,2
mydik,2,0,2,1,2
my nut,0,0,2,0,1
naked,0,0,2,0,0
naughty,0,0,1,0,0
n word,1,1,0,0,1
naegar,3,5,0,0,2
naeger,3,5,0,0,2
naegur,3,5,0,0,2
natsee,0,2,0,0,2
national socialist,0,0,0,0,1
natsoc,0,1,0,0,1
natzi,0,2,0,0,1
naygar,3,5,0,0,2
nayger,3,5,0,0,2
naygur,3,5,0,0,2
nazi,0,2,0,0,0
nazis,0,2,0,0,0
nazy,0,2,0,0,2
neger,3,5,0,0,2
negr,3,5,0,0,2
negros,0,1,0,0,0
nerd,0,0,0,1,0
nga,2,3,0,0,2
ngga,2,3,0,0,2
ngger,3,5,0,0,2
ngiger,3,5,0,0,3
nicca,2,3,0,0,1
nicger,3,5,0,0,2
nickger,3,5,0,0,2
nickgur,3,5,0,0,2
nickher,3,5,0,0,2
nickker,3,5,0,0,2
nig,2,3,0,0,0
nigg,2,3,0,0,0
nigga,2,3,0,0,0
niger,3,5,0,0,0
nigler,2,2,0,0,2
niglet,0,2,0,0,2
niguh,2,3,0,0,2
nigr,2,3,0,0,2
nigs,2,3,0,0,1
nippas,2,3,0,0,2
nipple,0,0,1,0,0
nips,0,0,2,0,0
niqq,2,3,0,0,2
niqr,2,3,0,0,2
nmsl,0,1,0,2,2
nolife,0,0,0,2,0
nood,0,0,2,0,2
nsdap,0,2,0,0,1
nude,0,0,3,0,0
nudes,0,0,3,0,0
nuger,2,3,0,1,1
nutcase,0,0,0,1,0
nut in all of u,0,0,3,0,1
nut in all of you,0,0,3,0,0
nut in u,0,0,3,0,1
nut in you,0,0,3,0,0
nutjob,0,0,0,1,0
nuzi,0,2,0,0,2
nyger,3,5,0,0,3
nygga,2,3,0,0,3
nziger,3,5,0,0,3
oralsex,0,0,3,0,0
orgasm,0,0,2,0,0
osama,0,1,0,0,0
osamabin,0,1,0,0,0
osamabinladen,0,1,0,0,0
peanis,1,0,3,0,1
peanus,1,0,3,0,1
penetrator,0,0,1,0,0
pendejo,0,0,0,1,0
